n,y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-185.84856509971837,0.13590747991426566,-0.38971119065831705,-0.49131603948624364,-0.3412098786439039,-1.8504151541921237,-0.3299937996103875,-1.4365832208894094,-0.9493339091137124,0.631171112831392,-0.5962139283669766,0.3671744882101282,-0.7274587747177024,-0.5055865845148543,0.6873747254290934,-0.3179706164106453,-0.6000858923043471,-0.5053149990770044,-0.6109114800533058,-0.12036016395528384,0.014709319830172268
1,-43.00042223207875,-0.6460620605609367,0.38463200341315107,1.1508122337110485,-2.0768235353414877,-0.7287943681339413,0.10626673353391652,-0.5093152853355535,0.17454693091662807,1.442291189541429,1.9751291724375388,0.5432586889186084,0.83846903583048,-1.021445612047369,0.6195045930426899,-1.058429306372061,-0.2369137464777771,0.7846164425832226,-0.667506947275506,-1.6838258218480857,1.5937309044261465
2,40.87904473139792,-1.147941303745767,0.8650520890000474,-0.3505039357067672,-0.6966332706866557,-1.1555630809116266,-0.7107143529448048,2.0489914927682737,-0.1380182225726077,1.6143077011858564,-1.0066198649915679,-0.14246127833286035,-0.07506199614120934,0.5517407014125685,-1.2797081341102017,1.9448213335318887,-0.3074615675866764,0.6863997272446707,-1.496334691055471,1.2764732891588322,0.4633687249447791
3,340.34009924902284,0.8120363274038107,0.41149085834312554,2.6504473195429377,1.348957790628565,-0.2103427477981025,2.101144779010176,-0.2462889505173275,0.45373225646607424,-0.933255925512106,1.9247963439995346,2.6909176229773655,-1.4637753656934833,-0.2279791296169464,-0.930222642663484,-1.0273095725046835,-0.804575833220256,0.19990274807096767,0.5435131922612613,-0.02149655923007441,0.42544442273088423
4,-87.26952907052772,0.3223182005119082,0.3024404099154917,-0.784387338047092,1.3105951376939524,-2.202299819340993,0.9207346426667397,0.6668132767364879,0.49411082625967684,-1.4809602021571688,-0.37802542116597215,-0.28812280426903897,-1.5707816079306838,-2.4203988675288506,0.45057474772836964,-2.4288591000913597,1.0829523004180022,-1.3495916961010956,1.542374860927291,0.969320815890777,-0.19801911955620816
5,-0.9985220000522634,0.8546521300458193,0.6388584909411793,-0.38115169464806936,0.3910621835525645,0.14448784437614756,1.37731862628219,1.7298408683958302,-1.2406657351351724,-2.0379101092531897,-0.3024823295543902,-2.3031290051549735,0.6162274094374394,0.5413817139835639,0.6947260867920014,1.0319739136730512,0.05470775775658103,0.12826864913005032,1.0488391698292763,0.7180557959932441,2.6840792957380804
6,147.51546909647757,1.0260754378126005,0.5494257223613486,1.1309885921787401,0.35799057905090503,-2.4536268351530803,-0.40070800422674474,1.6890141904279734,0.037095984574398576,-0.7815150292277693,-0.6044078257211422,0.9952433086564038,2.237036468535818,-0.06290205400811344,0.41955640747958894,-0.4997300742895255,0.100001515621785,-0.6389586810239014,-1.4797704295692808,-2.1450947977865353,0.6883877955645363
7,304.1695347033236,0.4415007234068176,1.100568831272009,0.36282700635188936,1.3933281873322285,2.7954044574448185,0.1871724350800164,-1.5593226417287802,-0.12773355598294353,-0.23302680124777939,-1.0350563222052094,0.7496858651011811,-1.3860236815311098,-1.9530076708492181,-0.6716538114490271,-1.1468880024415602,0.7777557020559143,2.112798412616926,0.5473594281109355,1.21243175466241,0.6260314165290313
8,-38.532652547071876,0.23016541489732495,0.8874750566051997,-1.3609379683955973,0.5871476772489933,-0.35172696272616055,-0.8314473327976488,-1.5683157821781806,-1.142157070484659,-0.9247432772222459,0.8624331671748374,-0.0013584342322987878,0.009236550992068675,-0.5809651644106795,1.2998730532578742,-1.9592895732138305,-0.035443815315682546,0.656046928484114,0.568535427381886,0.6053734593434228,-1.9483637653313945
9,424.0562056089055,0.9588965943169852,-0.36783720106197787,1.234854926464836,0.05080275245180976,-0.15731677029284052,-1.427754735705114,0.07735123726899719,1.2564394998735413,-0.35092497622486024,-0.3635296047659909,1.2134084812469037,2.361482401107258,0.6326286092443318,-1.1586509382316925,0.4259859459682032,0.7230380515857946,1.206255354744144,0.0850713846753342,0.4056409730204954,0.7108516606386572
